vocabulary size: 226
n tunes: 4083
n train tunes: 3891.0
n validation tunes: 192.0
min, max length 55 822
Building the model
  number of parameters: 10384102
  layer output shapes:               #params:   output shape:
    InputLayer                       0          (32, None)
    EmbeddingLayer                   51076      (32, None, 226)
    InputLayer                       0          (32, None)
    GRULayer                         2465600    (32, None, 800)
    GRULayer                         3843200    (32, None, 800)
    GRULayer                         3843200    (32, None, 800)
    ReshapeLayer                     0          (None, 800)
    DenseLayer                       181026     (None, 226)
Train model
Load metadata for resuming
setting learning rate to 0.0030000
7781/10943 (epoch 63.992) train_loss=411.05834961 time/batch=1.17s
7782/10943 (epoch 64.000) train_loss=331.30651855 time/batch=0.84s
7783/10943 (epoch 64.008) train_loss=734.71228027 time/batch=1.66s
7784/10943 (epoch 64.016) train_loss=570.73956299 time/batch=1.47s
7785/10943 (epoch 64.025) train_loss=146.20668030 time/batch=0.48s
7786/10943 (epoch 64.033) train_loss=210.46090698 time/batch=0.54s
7787/10943 (epoch 64.041) train_loss=302.44851685 time/batch=0.82s
7788/10943 (epoch 64.049) train_loss=88.62497711 time/batch=0.31s
7789/10943 (epoch 64.058) train_loss=330.83993530 time/batch=0.87s
7790/10943 (epoch 64.066) train_loss=662.67553711 time/batch=1.92s
7791/10943 (epoch 64.074) train_loss=797.41833496 time/batch=3.15s
7792/10943 (epoch 64.082) train_loss=266.34643555 time/batch=0.95s
7793/10943 (epoch 64.090) train_loss=249.23947144 time/batch=0.65s
7794/10943 (epoch 64.099) train_loss=193.86978149 time/batch=0.55s
7795/10943 (epoch 64.107) train_loss=278.75201416 time/batch=0.74s
7796/10943 (epoch 64.115) train_loss=375.74853516 time/batch=0.99s
7797/10943 (epoch 64.123) train_loss=327.90539551 time/batch=0.86s
7798/10943 (epoch 64.132) train_loss=156.89570618 time/batch=0.41s
7799/10943 (epoch 64.140) train_loss=128.04237366 time/batch=0.29s
7800/10943 (epoch 64.148) train_loss=165.60736084 time/batch=0.44s
7801/10943 (epoch 64.156) train_loss=270.17065430 time/batch=0.73s
