vocabulary size: 226
n tunes: 26239
n train tunes: 24959.0
n validation tunes: 1280.0
min, max length 55 997
Building the model
  number of parameters: 10384102
  layer output shapes:               #params:   output shape:
    InputLayer                       0          (64, None)
    EmbeddingLayer                   51076      (64, None, 226)
    InputLayer                       0          (64, None)
    GRULayer                         2465600    (64, None, 800)
    DropoutLayer                     0          (64, None, 800)
    GRULayer                         3843200    (64, None, 800)
    DropoutLayer                     0          (64, None, 800)
    GRULayer                         3843200    (64, None, 800)
    DropoutLayer                     0          (64, None, 800)
    ReshapeLayer                     0          (None, 800)
    DenseLayer                       181026     (None, 226)
Train model
1/19499 (epoch 0.003) train_loss=2225.40209961 time/batch=1.92s
2/19499 (epoch 0.005) train_loss=2570.20385742 time/batch=3.31s
3/19499 (epoch 0.008) train_loss=1650.87207031 time/batch=1.72s
4/19499 (epoch 0.010) train_loss=3002.86791992 time/batch=2.68s
5/19499 (epoch 0.013) train_loss=2404.34667969 time/batch=1.93s
6/19499 (epoch 0.015) train_loss=773.73199463 time/batch=0.87s
7/19499 (epoch 0.018) train_loss=408.24468994 time/batch=0.48s
8/19499 (epoch 0.021) train_loss=2991.27636719 time/batch=3.82s
9/19499 (epoch 0.023) train_loss=2487.93847656 time/batch=2.66s
10/19499 (epoch 0.026) train_loss=1040.81298828 time/batch=1.24s
11/19499 (epoch 0.028) train_loss=1035.43750000 time/batch=1.25s
12/19499 (epoch 0.031) train_loss=906.39685059 time/batch=1.28s
13/19499 (epoch 0.033) train_loss=450.18316650 time/batch=0.77s
14/19499 (epoch 0.036) train_loss=501.92684937 time/batch=0.79s
15/19499 (epoch 0.038) train_loss=204.82324219 time/batch=0.40s
16/19499 (epoch 0.041) train_loss=1280.88159180 time/batch=1.76s
17/19499 (epoch 0.044) train_loss=266.16510010 time/batch=0.71s
18/19499 (epoch 0.046) train_loss=663.50659180 time/batch=0.95s
19/19499 (epoch 0.049) train_loss=1557.09814453 time/batch=2.29s
20/19499 (epoch 0.051) train_loss=366.03952026 time/batch=0.88s
21/19499 (epoch 0.054) train_loss=1153.47692871 time/batch=1.57s
22/19499 (epoch 0.056) train_loss=372.48278809 time/batch=0.80s
23/19499 (epoch 0.059) train_loss=1102.30981445 time/batch=1.58s
24/19499 (epoch 0.062) train_loss=1002.26800537 time/batch=1.58s
25/19499 (epoch 0.064) train_loss=1087.17834473 time/batch=1.59s
26/19499 (epoch 0.067) train_loss=252.23445129 time/batch=0.58s
27/19499 (epoch 0.069) train_loss=2316.69482422 time/batch=4.53s
28/19499 (epoch 0.072) train_loss=794.03234863 time/batch=1.75s
29/19499 (epoch 0.074) train_loss=1321.79150391 time/batch=1.91s
30/19499 (epoch 0.077) train_loss=505.96337891 time/batch=0.98s
31/19499 (epoch 0.079) train_loss=1076.87683105 time/batch=1.54s
32/19499 (epoch 0.082) train_loss=866.21252441 time/batch=1.41s
33/19499 (epoch 0.085) train_loss=736.73193359 time/batch=1.21s
34/19499 (epoch 0.087) train_loss=1208.77294922 time/batch=1.81s
35/19499 (epoch 0.090) train_loss=285.29681396 time/batch=0.71s
36/19499 (epoch 0.092) train_loss=468.95449829 time/batch=0.71s
37/19499 (epoch 0.095) train_loss=849.06726074 time/batch=1.26s
38/19499 (epoch 0.097) train_loss=1037.57470703 time/batch=1.64s
39/19499 (epoch 0.100) train_loss=718.55957031 time/batch=1.18s
40/19499 (epoch 0.103) train_loss=460.55914307 time/batch=0.81s
41/19499 (epoch 0.105) train_loss=459.08575439 time/batch=0.78s
